date,trips_per_day
2020-01-21,5187
2020-03-13,7077
2020-03-07,6703
2020-02-15,1842
2020-02-04,6162
2020-02-12,4913
2020-01-17,3858
2020-01-25,1728
2020-03-09,4505
2020-03-10,7827
2020-03-11,7631
2020-02-11,6472
2020-02-25,4986
2020-03-29,1461
2020-02-09,1817
2020-03-21,2126
2020-02-23,7765
2020-02-21,5509
2020-01-10,5697
2020-03-03,8218
2020-02-27,5704
2020-01-24,3657
2020-02-19,5730
2020-03-05,8269
2020-03-06,6138
2020-03-25,5161
2020-01-04,3187
2020-02-01,3204
2020-03-02,8335
2020-01-11,965
2020-01-13,6155
2020-01-28,6676
2020-01-22,5514
2020-03-22,1321
2020-01-03,5890
2020-01-07,7297
2020-02-08,3239
2020-01-05,3035
2020-03-08,11170
2020-03-30,1938
2020-01-06,7073
2020-02-20,4903
2020-02-22,5455
2020-03-17,4398
2020-02-10,6328
2020-03-27,1490
2020-02-05,5371
2020-02-24,6723
2020-01-27,6314
2020-02-06,3247
2020-03-12,8349
2020-01-30,6576
2020-03-19,2002
2020-01-12,1766
2020-03-16,3626
2020-01-19,895
2020-03-01,7413
2020-02-18,6618
2020-02-29,3637
2020-03-15,3318
2020-03-26,1664
2020-01-23,3613
2020-03-31,1622
2020-01-16,5495
2020-01-02,6479
2020-03-20,2331
2020-01-09,6804
2020-01-31,5428
2020-02-16,2930
2020-03-23,1966
2020-03-28,1443
2020-01-15,6933
2020-01-26,2542
2020-01-20,2932
2020-02-17,3605
2020-02-13,3035
2020-01-18,1076
2020-02-14,2993
2020-02-28,5348
2020-01-01,2141
2020-03-04,8396
2020-02-02,5417
2020-02-26,4107
2020-03-14,2979
2020-03-24,2431
2020-01-14,7067
2020-01-08,5449
2020-02-03,7278
2020-03-18,2110
2020-01-29,6455
2020-02-07,5247
